word	description
SIREN	Street sound. 
SOBER	Sedate. 
EMEER	Islamic leader's always poetical about me
ENTER	The way to get in into the inside of 34 across
SCALE	The sign of Libra. 
AMUSE	Sleeper song that will entertain
OTTER	Seals kin
ILION	Troy to Achilles
CHESS	Game played with  men
AWARE	With it, in a sense
ELITE	12 pitch
PLEAD	Quietly covering main part, carry on lawsuit
ELATE	Buoy up.
ARROW	Directional key on a keyboard
SIREN	Black Maria sounder
CELLO	Player in room with nothing on
ENTER	Come into a pot
ATTAR	Oil of roses
IMAGE	Representation, picture
GROSS	'Ew-w-w!'
INTER	This view is for one to be seen, and something to do with 17 across
SONAR	Destroyer's "ears"
SENSE	Lucidity. 
AMUSE	Bring chuckles to
ONSET	Beginning; assault
ELITE	The high and the mighty
HALER	Healthier.
AISLE	Porters workplace
RATIO	It's sometimes written with a colon
OTTER	Relative of a weasel. 
ARMOR	Suit of a sort 
EIDER	You can get down from one
ATTAR	Oil of rose petals.
TEASE	Bring discontent to
SIREN	Whistle 
ERROR	Bad play
AMATI	Noted violin
ARROW	Hood defense
ISLET	Yacht stop perhaps
ERROR	1 down
ELATE	Point to delayed cheer
PISTE	Skiing trail
AGREE	Go well in harness 
SIREN	Alluring vocalist
ERROR	It might cause regret
ELATE	Make very happy 
ARMOR	Shielding suit
ENTER	Key near the quote marks
AROMA	Feature of Starbucks stores
SPEND	Make appropriations
EROSE	Not even, as a leaf's edge
CHESS	Your mates tell us you're good at it
ARROW	Amazon logo part
OTTER	Weasel relative. 
NYLON	Material for a bank robbers disguise
ERODE	Diminish gradually
ERROR	Oversight, e.g
CELLO	Yo-Yo Ma's Petunia, for example
TENOR	Quartet member 
NABOB	Certain natterer, per Agnew
ELATE	Fill with exultation.
ALEPH	Letter resembling an oxs head
FRYER	Chicken for a chicken dinner
SIREN	Alert signal.
UDDER	Organ for a milking machine
GROSS	Ew
HERON	Bird with an almost  foot wingspan
ELATE	Lift (the spirits)
ELITE	Top tier
STAMP	It's canceled when it's accepted
TROLL	Mythical giant or dwarf of Scandinavia
ELITE	Top class 
ELIDE	Omit, as a consonant
SENSE	Cole Sear had a sixth one
ELOPE	Slip away romantically
ANTES	Decides to play
PILOT	Steersman 
AMUSE	Appeal to one's sense of humor.
ENTER	Frequent stage direction
ENTER	Start, as school
OILER	Gretzky, until 1988
AWARE	Apprised. 
AMATI	Famed violin
NOVEL	Writing medium 
ARMOR	Metal plates on warships.
EROSE	Irregular as a leafs edge
ELATE	Cheer.
ERROR	Boner get your mind out of the gutter YES YOU
OTTER	Tobogganing mammal
RESIN	Copal
ERODE	Destroy gradually 
SENSE	Lexical meaning
CHESS	Game played with bishops
SENSE	Touch, hearing or sight
STOMP	Dance step.
SENSE	Feeling or hearing, for example
EMAIL	Hightech message
ELITE	Ford model
PLEAD	Request quiet guide
LEARY	'Rescue Me' star Denis
AMATI	Violin maker of note
RIVAL	Competing.
ARROW	Director in black and white
OVATE	Egg-like
CELLO	For the prisoner to get around with strings attached
AGREE	Concur with a man like Sophocles, almost
ELOPE	Sneak off romantically 
ERODE	Strengthens opposite
EMEER	Turkish title 
RELIC	Bayeaux Tapestry is one
LEVEE	Word in the lyrics to American Pie
AMATI	Famous violin.
ARGOT	Peculiar language. 
NEVER	"When pigs fly!"
EXERT	Put forth strongly
STEMS	Checks as the tide
TENOR	Singer that sounds like a note (wordplay)
ENTER	Return keys alter ego
DREAD	Romeo in unfailing terror
LONER	Introvert musician, perhaps
ARMOR	Tilters protection
TITER	Solution strength in medicine
WIRER	Cable installer at times
CLING	Show emotional dependence
CLING	Grasp urgently
ENTER	Inviting door sign
OTTER	Minks poor cousin
ARROW	One may tell you where to go
ELOPE	Have a small wedding perhaps
LEAVE	Go on holiday
OVULE	Immature egg
SWOOP	Pounce 
IDLER	Lounge lizard
AWARE	Sanguine
OVULE	Seed. 
SENSE	Common  proindependence pamphlet
ELOPE	Avoid major planning, in a way
MEANT	How the insect followed me within tent (wordplay)
DISCO	The Village Peoples music
VENUE	Crime's location 
RIVAL	Be a match for.
OILER	Mark Messier, for 12 years
URENA	Medicinal tropical plant
REINS	Bridle attachments
NORSE	Language that gave us the word "reindeer"
SCARE	Take on a barnstorming trip, maybe
GRUMP	Crosspatch
SENSE	Horse trait
ELITE	Choicest part. 
ELATE	Make mighty merry
MERGE	Highway sign
ERROR	Grounder through the legs, for one
PALAR	Like a stake. 
SENSE	E.g. smell
RETRO	Prefix with grade
ERECT	Like bipeds
OVATE	Like dogwood leaves
OUTER	This is never the route to the inside
ENTER	Walk inside
SENSE	First word of an Austen title 
OTTER	Marine mammal that lacks blubber
OTTER	New type of ship.
FELLA	Blighter
SIREN	Vocalist to Ulysses.. 
ELOPE	Skip church, in a way (wordplay)
RIVAL	Equal in glory
PILOT	The man behind plexiglass. 
ARENA	'Spartacus' setting
AGREE	Second something
ERROR	Parapraxis, for example
ELECT	People chosen among Oxbridge lecturers
ELOPE	One way to save on flowers
HALAL	Henry and Albert provide meat for Muslims
LEAVE	Head for the door
SCARE	Hiccups cure some say
AISLE	Railcar walkway
ELATE	Puff up
LIMIT	As far as something can go
HELIX	Single strand of DNA (wordplay)
GLARE	Garishness 
ALIEN	Genesis Illegal
AMUSE	That'll give you employment for a morning and keep you occupied
ERROR	Deed rewritten with this mistake could be reordered
RENTE	Income for a Lourdes landlord
LEVEE	Man-made embankment
GROWL	The sound of a dog with a bird at last
ERROR	Blunder has rascal guillotined
AGREE	Please, with 'with'
ERROR	Reason to reboot, perhaps
NEIGH	Bay sound
TEPEE	Siouan home
ELATE	Gladden the heart
CRASS	Very unrefined. 
EMAIL	It's quicker than the "snail" variety
CLONE	Scifi remake
ATTAR	Perfume from rose petals
SIREN	Seamen's beguiler
AMATI	Cremonas pride
ELOPE	Flee to marry
ARENA	Political convention setting
CRUSH	First love, perhaps
FUMES	Exhaust pipe emission
ERROR	Proofreader's catch
WHARF	Marina structure
ELOPE	Defy ones parents possibly
SIEVE	Strainer, for instance
UNION	Brought up without the social graces, I maintained harmony
OILER	Houston pro
ARMOR	What panzer means
LEAVE	Depart on holiday (wordplay)
INURE	Accustom (someone) to something unpleasant
SOLUS	By oneself, on stage
THINE	Yours, once
SPEND	Be freehanded 
ERECT	Construct, build
DETER	Turn aside
ANTES	Fees for poker hands
TENOR	Drift
ARMOR	Knights gear
ELECT	Choose by popular vote
PIPIT	Titlark.
CRASS	Indelicate
LINER	Queen Mary, for example
DANDY	Foppish dresser
SENSE	One of six
OTTER	Playful river creature
CELLO	Viola da gamba's replacement
LEARY	60's tripper Timothy
AGREE	Approve
OTTER	Sleek furcovered swimmer
ESSAY	Place to find an argument, perhaps
OLDIE	'60s song, for example
ERODE	Diminish, as a signal
AWARE	Wellinformed
ENTER	Common door label
DISCO	Place to dance
OWNER	Insurance seeker frequently
CLING	Hold on tight (to)
LINER	The Titanic, for one
LONER	Very independent one. 
GOOSE	Character who dies in Top Gun
SKATE	U S submarine in North Pole rendezvous
ERODE	Gnaw away.
CHESS	***Game with rooks (1 and 2)
RASTA	Selassie worshiper
SCARE	Put off, perhaps
SIREN	Sound of an emergency
OSAGE	A certain Oklahoman
ELOPE	Hasten to wed
AWARE	Knowing about
ERROR	'Does not compute'
LEARY	Big name in s counterculture
OILER	Canadian pro on the ice
LONER	Individualist
ERROR	Baseball miscue
ERROR	In English basic education, nothing that's wrong
EROSE	Gnawed
ALLAY	Nothing but affirmative to relieve one
ERROR	Crossword clue problem
AWARE	Not in a fog
SIEVE	Colander's cousin
SWEEP	Curling skip's exhortation
ARENA	Kemper Memorial  in Kansas City
OTTER	Aquatic fish-eater
ERROR	Overthrow, usually
SCENT	Hound's hint
ALIGN	Do car wheels
REGAL	Largest U.S. movie theater chain
OPINE	Think
ERECT	Opposite of "reclining"
GOOSE	Mother  fictitious writer of nursery rhymes
ARARA	Colorful parrot of the Amazon region
ELOPE	Go straight to the courthouse, perhaps
ATTAR	Perfume base
CELLO	Yo-Yo strings (wordplay)
URINE	It's frequently passed in an old city in Spain
SENSE	Special capacity for appreciation.
EMAIL	Electronic messages
TRILL	Quavering or vibratory sound
OTTER	Hermione's Patronus
FRIAR	'The Canterbury Tales' traveler
OILER	Machinist's helper.
ERROR	Sorrier, is leaving another bloomer
ARISE	Spring up.
CHESS	He's on board among the centuries, perhaps
OPINE	Put in ones two cents
CHESS	Paul Morphy's game.
CALIF	Islamic leader from the Golden St. (wordplay)
LIMIT	Boundary or demarcation
TETRA	Four before words, sometimes
ABOVE	Over's partner. 
ERODE	Slowly wear away as a cliff face
LONGE	Rein used in horse training. 
ENEMY	'The bad guys'
SCARE	Be a bugbear
ELVER	Fish always in lake? Quite the opposite
AMUSE	Tickle the funny bone 
ALERT	On the ball 
TEMPO	Concern for a pit boss (wordplay)
RATTY	In shabby condition
SIREN	Screen vampire
EROSE	Like a saws edge
CELLO	Casals's instrument 
EMEER	Pasha's colleague
SIEGE	Attack on Troy, e.g
SIEVE	Epitome of leakage
ISLET	There's little in the water for a new tenant
NEVER	Where  is heard a discouraging word
VALET	Parker perhaps
RESET	Put back to 000, perhaps
URINE	Wee one blocks vessel close to shore
ELOPE	Say "I do" without a big do
EDGER	Lawn border tool
EMEER	Arab chief
KOREA	s conflict site
GROWL	Bark may swell by end of April
LEAVE	Get going
OBEAH	Kin of voodoo
ERROR	Flaw on a diamond
LEAVE	The French hail freedom
ENTER	"Door's open"
MURAL	Wall-painting
ELOPE	Skip the announcement invitations etc
LINGO	Log in (anagram)
SIREN	Rock singer about to be detected in depravity
SWEEP	Clean finish (wordplay)
SKATE	Emulate Babilonia
NERTS	'Darn it!'
UNTIE	Set free 
LONER	He doesn't like company 
EVENT	This 28 across
WANNA	Casual "You game?"
TRILL	Composer's embellishment
AISLE	Gangway is swamped by liquor
ELITE	Chosen few. 
SIEVE	Meshed device.
ELOPE	Go out through the bedroom window perhaps
SENSE	Get
ENEMY	Adversary in Yemen out of order
ARENA	In the  Charlton Heston memoir
SCARE	Word with babe or head 
SENSE	Have a feeling about
OMBRE	Hair colour
SCALE	1:62,500, for example
RETRO	Active starter (wordplay)
PLEAD	Answer, in court
ERROR	Ballplayers bobble
OTTER	Frolicking fisheater
ELITE	Like SEALs
AMATI	Choice violin
ELATE	Blithen 
ALERT	On the lookout.
GROSS	Ugh
CELLO	Mstislav Rostropovichs instrument
SENSE	Get a gut feeling
KAYAK	Seal hunter's boat, traditionally
ARROW	Cupids accessory
OLDIE	Soldier shelled in song from the past
NERTS	Oh, bother!
SCARE	Kind of crow
TENOR	Basic drift
GLARE	Iceblink
ARROW	Directional signal 
EROSE	Worn by wind and water
UNION	- - Jack
OTTER	Aquatic animal that uses rocks as tools
ENTER	Key that can sometimes replace clicking
OMBRE	Game played with a pack of forty cards
CELLO	Musical instrument held between the knees
ERODE	Cause to deteriorate
OVATE	Like aspen leaves
ARROW	Missile for Robin Hood
CHESS	Match with bishops
EMEER	Title for a descendant of Mohammed
LEAVE	The L in AWOL
OMBRE	Darktolight hair coloring trend
TEASE	Give body to
AGREE	Consent. 
ELATE	Put in a happy mood.
EVADE	Avoid first woman carrying poster
GOOSE	Hissing animal
RINSE	Washingmachine cycle
OPIUM	Narcotic. 
AGREE	Be in accord. 
ORDER	Class - instruction
ELOPE	Bolt together (wordplay)
EMAIL	Free Yahoo! offering
ERECT	Standing upright before going to court
ARMOR	Armadillo's covering.
NEVER	Cycling French novelist? Certainly not!
PRIED	Took (away), as a toy from a toddler
ORDER	See 61 Down.
OTTER	Semiaquatic mammal
PLEAD	Answer in court
GROSS	Flagrant.
SWEEP	Post-election office cleanup.
TRAIT	Distinguishing quality
ELATE	Lift the spirits of
ELATE	Buoy, as one's hopes
NEEDY	Like those on welfare, presumably
LOPER	Draw runner
CROAK	Raven's cry
ELITE	Opposite of hoi polloi
OLDIE	"I Love You Truly," for one 
ALLAY	Quell. 
ALIEN	Seminal  horror film
RAKED	Worked in the yard
PLEAD	State "Not guilty," for example
PILOT	Conn man 
NEIGH	Sound from a stallion
OVATE	Partly round
EIDER	Downy quacker
ENTER	It's to the right of an apostrophe
TASER	Shock dispenser
ERUPT	Blow a fuse, say
HOTEL	Tokio
CREST	Helmet decoration
GROSS	Austin's aide in U. N.
ERECT	Crete (anagram)
ALIEN	Xenophobe's aversion
ERODE	Create a gorge
RERUN	Show over
CELLO	Sometimes plucked instrument
VENUE	Where the show must go on
WATER	What fills a reservoir
EVADE	Shun responsibility
ENTER	Talking RiversMeryman
SHAME	Scandal 
EMEER	Kuwaiti royal
AMUSE	Cause to break up (wordplay)
TETRA	Pet shop swimmer
ERODE	Wash away as the shoreline
ALARM	Wakeup call
ERECT	Like man, in a way
NEVER	"Not on your life!"
USAGE	Established custom
TREES	They leave in the spring
DISCO	Mirror ball milieu
GROSS	'Eeew!'
RIVET	Rosies bolt
LEAVE	Some remarkable aversion to desert
ADORN	Bejewel say
SWEAT	High-intensity workout output
SCARE	Fly ball to the warning track, to a pitcher
DRIVE	Road submerged by flooded river
ERROR	Box-score notation 
ARENA	Where tackles are made
ELATE	English story sent up to delight
SNERT	Viking family dog of comics
SIDLE	Move along a buffet line perhaps
CALIF	From Imperial Co to Siskiyou Co
OWNER	George W. Bush, to the Texas Rangers, once
INERT	Sluggish by nature
ELOPE	Double up in Vegas
SWEAT	One of Churchills three
RELAX	Take five, as Frankie once said (wordplay)
SCALE	Butcher's need
SPARE	Extra tire
SIMAR	Womans loose robe
WAIVE	Pass on the right
AGREE	Be likeminded
MONEL	Corrision resistant metal
ELIDE	Slide over.
THINE	Biblical possessive
ELITE	Hardly the hoi polloi
ARROW	Object in Cupid's quiver
ENTER	Put down English conservationists with little hesitation
ENTER	Come into, as a room
ELATE	Gladden, and then some
ERROR	Cause for an erasure
PLEAD	Make earnest appeal.
AWARE	Witting
ENTER	Occupy 
CRUSH	Crowded mass
SIEVE	Screen out.
ERROR	Queen takes bishop - first obvious mistake
LONER	Introvert musician perhaps
ALLAY	Lay to rest (fear)
ELOPE	Marry on the run
AEGIS	Zeuss shield
DISCO	Duck  hit of
OLDEN	Polynice in the paint
DREAD	Awesome fear. 
RAKED	Worked in the garden
SWEPT	Clean, as a floor
OSAGE	River through Lake of the Ozarks
AMUSE	Copy Carrey
AROID	Sweet flag or calla lily
ARMOR	Defensive covering
ENTER	Punch in, as a PIN
OPINE	Throw out an idea
DENSE	Not at all airy
CURSE	Blasphemous cry
FILET	Fair odds allowed for a piece of meat
PIETY	Religiousness
TROLL	Internet annoyance
OLDEN	Poetically ancient. 
ELITE	All-star
AGREE	Comply
AMUSE	Titillate 
TROLL	One met by Peer Gynt
ANIMA	Life principle 
SIEVE	Blabbermouth: sl.
UNAMI	A friend, in France
ERODE	Slowly break off (wordplay)
VILLA	General Pershing quarry of 1916
AMATI	Cremonan violinmaker
EXERT	Put into vigorous action.
USAGE	What kilowatt hours measure
SENNA	Formula One driver Ayrton
ERODE	Waste away from weather
ISLET	Speck of green in a whole bunch of blue on a map
ENTER	Go in hospital department with expression of hesitation
ISLET	Land in the Thames perhaps
NEVER	Defiant refusal
ENTER	Walk in 
SIEVE	Mesh strainer
LEAVE	Part of AWOL.
EXERT	Bring (a force) to bear
STEMS	Wine glasses informally
LOPER	Easygaited horse
TENOR	Crooks or Sullivan.
RATIO	Relativity between two quantities
ELATE	Delight in revolutionary online story (wordplay)
SOBER	Good for driving
SNORE	Tedious doings
RESTS	Chills, so to speak
MONEL	Nickelcopper alloy
AROMA	Smell from a bakery
SHEEN	'Spin City' actor
ALTER	Change 
ERROR	Undesirable software message
SALON	Fashion showroom. 
ERROR	Mistake made by English bishop over gold
SENSE	Sagacity
DISCO	1970's-80's musical craze
UNION	Teamsters for instance
ANTES	They go to pot
AROSE	Prepared to hear The StarSpangled Banner
RATIO	3:1, for one
PLEAD	Say not guilty say
RAKED	Slanted, as a ship's mast.
STOMA	Minute orifice: Bot.
ARROW	Toxophilites item
OTTER	In hindsight, some regret touching aquatic animal
UREDO	Hives.
EDGER	Lawn device
ENTER	Butler's request
ATTAR	Rose petal extract
OTTER	Aquatic fun-lover
ORANG	Endangered Sumatran ape, for short
ERODE	Undermine. 
ARMOR	Arrow deflector
EXERT	Apply as muscle power
CRUSH	Shortlived infatuation
HEMEN	Bruisers
NEVER	'Not if my life depended on it'
ENTER	Don't go and post this
THINE	Yours, of old
KOREA	Seouls location
NABOB	Powerful bloke
DISCO	Girl's firm provides entertainment
ERROR	What "oopsy" signals
SENSE	Good mental capacity.
ENTER	Come into American HQ avoiding the front entrance
DISCO	Nightclub with dancing to recorded music
EMEER	Arabian aristocrat (Var.)
CHESS	Game with rooks and pawns
ARROW	Constellation Sagitta. 
LEARY	LSD advocate Timothy
ERROR	Typo
FRUMP	Dowdily dressed female
AVANT	- -garde
ELITE	Choice part.
ENTER	Text adventure command
TRAIT	Mendelian concern
SENSE	Reasoning capacity
RAKED	Collected leaves
SCARE	Goal of the "Scream" producers
ERODE	Wash away, as the shoreline
ERECT	Before it starts, see tea initially at last
REIFY	Make tangible
DATER	Mail clerks device
ATTAR	Scent from flower petals
ALIEN	Foreigner, outsider
ARMOR	Medieval Tymes attire
OTTER	Playful marine mammal
EXERT	Bring to bear.
SWORN	statement
AMUSE	Play the card 
DISCO	Car sticker has nothing to do with club
ELITE	Woods Duval Parnevik etc
ELITE	Blue-blooded
ELITE	Aristocratic type
AWARE	Conscious of a major fight to get central agreement
AMATI	Fine violin. 
AMUSE	Entertain Australian, one of a group of nine
AROMA	Coffee emanation
ELATE	Send to the moon
SIREN	Squad car sound
HEART	Symbol of affection. 
SIREN	Screen vampire.
ERROR	Career miscue
SIDED	Blind or broad attachment
AMUSE	Entertain, in a way
THERE	Done
AWARE	Clued into Arab domain surrounding conflict
ENTER	Word that makes one feel welcome
SKATE	Shirk one's duty
NERTS	Mild oath
EMAIL	Electronic messaging
INPUT	Signal entering a circuit
RELIC	A thing of the past
CRUSH	Mass of people. 
ELITE	Not the hoi polloi
ATTAR	Flower fragrance
TODAY	When procrastinators don't do things
SCALE	Item at a bakery
ALARM	Affright
URENA	Bast fiber source
ELOPE	Seek out a J.P.
ERROR	Pupils
ENTER	Put in, as input
SWAMP	Squelchy habitat
PALAR	Relating to stakes 
TRAIT	Baldness or blue eyes, say
STEAL	Hoop coup
ELATE	Gladden considerably
ERROR	Eraser target
ROWER	Oarsman/oarswoman
ELATE	Blithen
SENSE	Smarts
ENTER	Go forward
AMUSE	Occupy pleasurably
NEVER	And  brought to mind
ALTER	With 56-Down, second self
AROMA	It may come out of an oven
ERROR	Infielder's bobble
ELATE	Make giddy with glee
OILER	Member of Edmonton's hockey team
EXERT	Use great effort.
ORDER	Elks, for example 
ISLET	Mont-Saint-Michel, for example
CELLO	Overgrown violin 
ALTER	Transform. 
EYRIE	Hawks home
UNHIP	Square so to speak
SONAR	Undersea detection acronym
ARROW	Go this way sign
EGEST	Cast out 
ERODE	Cause to vanish 
AGREE	Get on with religious education in period
CHESS	Kind of board
STOGY	Very cheap cigar
CHESS	Contest my mate sometimes wins (wordplay)
ERROR	The sound of a rite that's not right
CLING	Stick (together)
ARMOR	Cover of knight
DREAD	Solemn
ERECT	Build, as a building
LINEN	New bar opens for the retiring types
TIBER	Site of some Roman banks
ERODE	Withdraw from the bank
SENSE	Soundness. 
LEARY	Drugculture leader in the s
AISLE	Part of church
LAYER	Arrange in tiers for egg producer
ELITE	1%-ers
ATTAR	Product of petals
SIREN	Loud whistle for sea temptress
EMAIL	Letter that doesnt need a stamp
LINGO	Dialect.
ERROR	Overthrow for one
SCARE	Yell "boo!" at, say
ERROR	Cause for an apology.
RILLE	Lunar valley
TIBER	River where Romulus and Remus were abandoned
LEAVE	The L of AWOL
ENEMA	Fluid injected rectally
EMAIL	Greenish blue
DREAD	Sheer fear
LEMON	Pitcher for the Indians.
INANE	Fatuous, silly
LEARY	Timothy or Mrs. O' 
ORATE	Indulge in bombast.
SKATE	Emulate Heiden
OTTER	Seaweed the Beanie Baby eg
RASTA	One with dreadlocks, perhaps
NEESE	Name on our paper money.
AMATI	Famous violinmaker 
LEERY	Having one's doubts
OTTER	Playful splasher
SENSE	One of five faculties, six for some
CHESS	Morphy's forte 
SCARE	What bugbears do
CURST	Damned 
ARGOT	In-group lingo
OTTER	Pip or Pop on Bear in the Big Blue House
OVOLO	Rounded architectural moulding
ENTER	With this it is a complaint inside, so come in
SWAMP	Innundate
ARMOR	What "Panzer" means. 
FROST	American poet Robert
AWARE	Sensible. 
RAISE	Frequent congressional selfgift
CHESS	League who were Tossing And Turning in the 60s
EMAIL	It may contain emoticons
OVULE	Small seed
ELATE	Lift the spirits
RESTS	Intervals of inactivity
CREEK	Golf course hazard
RETIE	Secure again.
CENSE	Perfume with olibanum
ETERN	Incessant Archaic. 
AMATI	Family of Italian luthiers
OLEIN	Chemical compound
ABOMA	Large serpent. 
REVUE	Nightclub show
ANTES	They get pots going
ENTER	Frequently used keyboard key
RESET	Move to 0, maybe
SHOWN	Quiet expression of pain knight displayed
AMATI	Valuable instrument.
ENTER	Appear on stage.
MANIA	Obsession in Philippines capital putting learner off
RAKED	Inclined. 
RAMAL	Pertaining to a branch
DISCO	Music to do the hustle to
EMEER	Pashas colleague
DREAD	Fear intensely
AGREE	Be in accord
ELATE	Puff up.
GLARE	Angry look.
LINGO	Johnny Foreigner speaks one
REMIT	Mail, as payment
LEAVE	Exit the premises
ENTER	Sign up as a contestant
ELOPE	Marry in a way
SIEVE	Wholly holey utensil 
TIBER	River where Rome was founded
ERROR	Fielder's flub
ARENA	Gladiatorial sphere.
ENTER	Go in and put it in the book
DISCO	Dance band is cooperative somewhat
UNTIE	Open, as a 126 Across
SENSE	Its best when common
PIPIT	Lark-like songbird
ELIDE	Say "prob'ly," for instance
UNPEN	Free the pigs
OTTER	Urchin-eating mammal
SPENT	Wasn't a tightwad
AGREE	Come to a consensus
LONER	Shes no social butterfly
EXERT	Put out vigorously
EROSE	Like the oak leaf 
ERROR	That's not all right in the way of 1 across
AMATI	Maker of fine violins
INPUT	Say
LEAVE	Soldiers break
SCALE	Assayers need
LEASE	Car document
ARMOR	Garb for Gawain 
ARROW	Symbol by the phrase You are here
ARMOR	Hard wear (wordplay)
EGEST	Cast off from a body
ENTER	Record time held by upcoming Frenchman
AMUSE	Make laugh.
ARMOR	Sir Tristram's working clothes. 
SIREN	Attention getter
NEVER	Definitive denial
ENTER	Go in to see the specialist at the Emergency Room
POSIT	Assume true
ARROW	Missile with a straight thin shaft
NYLON	Only the North could be so synthetic
AROID	Taro for one
CELLO	What Yo-Yo Ma plays 
ERODE	Whittle away
SENSE	Particular meaning
ETUDE	Chopin or Liszt exercise
ELOPE	Opt out of the local union
OTTER	Playful river mammal
ENTER	Opposite of exit
INANE	The void of infinite space
UNPEG	Take down a French exercise, grudgingly at first
RIATA	Hacienda lasso
CHESS	Its queens are men
OLDER	Not so fresh
SCARE	Aerial near-miss, for example
ERROR	Oops preceder, perhaps
SASIN	Indian black buck.
LONER	Homebody
RESIN	Gum from trees. 
NUMEN	Regenerated fellows listened to guiding spirit
CLING	Hang on (to)
SIREN	Warning whistle 
ENTER	Get admission to hospital department supported by the Queen
ARENA	rock music genre
ELOPE	Slip away, in a way
SIEGE	Assault on Troy, for example
EXERT	Strain river, right (wordplay)
ERODE	Wash away
ROWER	One who's told to stroke
OPINE	Ring followed by long think
ELITE	The in crowd
EXERT	Use one's power
TREES	Radioheads Fake Plastic
SNORE	Nocturnal disturbance
TAPER	Pre-bulb lighting, perhaps
RESIN	Be a second offender and they'll make it stick
AGREE	See eye-to-eye with a Greek for the most part
AROMA	Warm pie's allure
ERODE	Eat away at the bank
RISER	It can lead to heightened expectations (wordplay)
ELATE	Bring glee to
EIKON	Church image variable
LONER	Mountain man maybe
IMIDO	Of an organic compound 
OTTER	Water animal.
GLARE	Videographers problem
LEARY	s guru Timothy
SENSE	Logic
SCARE	Take alarm
ARMOR	Combat gear
LEVEE	River blocker
PREEN	Make sleek
HEART	Tin Mans prize
EXERT	Put out energy
EROSE	Irregular, as leaf edges.
TIBER	Romans call it Tevere. 
EXPEL	Kick out as of school
CELLO	Viola da gambas kin
SENSE	Taste or touch 
ELOPE	Get hitched in private
LEMON	Slot-machine showing 
OCREA	Botanical sheath 
ISLET	Archipelago part
PREEN	Clean (feathers)
ELITE	Travel item's the best
EMAIL	PC letters <P>etc.
ENTER	Do some bookkeeping 
AMUSE	Elicit chuckles
GOOSE	Inane one 
NYLON	Synthetic fiber 
ELITE	Special group
TRYST	Surreptitious rendezvous
INTER	Between Lat
MERGE	Blend 
ELATE	Send sky-high 
AGREE	Poll answer choice
CELLO	YoYo Ma plays it
LEAVE	Popeye's time off (wordplay)
ELIDE	Say cause say
TEMPO	Allegro or presto.
ARMOR	Iron wear
ENTER	Employ an ingress 
RAISE	Is and are to get them up
FRIES	Fastfood favorite
OLDIE	Late, late film on TV 
UNION	Chicago's R. R. station.
AEGIS	Athena's shield. 
MEANT	The writer meets worker as intended
SNORE	Night sound.
DETER	Prevent through fear. 
AMUSE	Disport
ENEMY	Time for Yemen reform
SIEVE	Mesh used for straining or sifting
SKATE	Kerrigan item
RESTS	Takes a break 
ELOPE	Go off to get hitched
EYRIE	High nest
ARROW	Indicator. 
ERODE	Wear down//Become weatherworn
SIEVE	Kitchen implement whose name is chanted by fans to rattle opposing goalies at hockey games
SCARE	Terrify 
TEMPO	Andante or allegro eg
ALARM	Morning warning
RAKED	Did some yard work
RAMEE	Part of Ouidas real name
ENTER	Break in, for example
EYRIE	Hawk's nest 
ALIGN	Get even (wordplay)
DRYER	Launderette purchase
EROSE	Notch-edged.
BESET	Threatened
STALE	Mate of a sort 
OILER	Ship full of fuel
ORDER	Select from the menu
ARMOR	Military equipment 
SCENT	Intuitive capacity for detecting. 
SIEVE	Kitchen strainer
RESOW	Plant crops again
ABOMA	Anacondas relative
ERROR	Way of operating
ELATE	Make exultant.
ADDER	Sum totaler
OVULE	Developing seed
AMUSE	Recreate.
TEMPO	Italian for time
AMUSE	Divert. 
PISTE	Run from street having been nipped by bird
AROSE	Quit the sack
ERROR	Misplayed ball
TROLL	On-line instigator
TROLL	Norse dwarf or giant
STEAL	Something bought for a song
AWARE	Knowledgeable
MANIA	Hullabaloo
ARMED	A marine journalist with weapons
AWARE	Tunedin
EYRIE	Nursery for high fliers
SENSE	Sound thinking. 
EMEER	Arabian governor
ENTER	Script word
RERUN	Many a TNT offering
SKATE	Edible marine fish
ATTAR	Oily extract.
ANIMA	Vital principle: Lat.
MESON	Quark  antiquark
THINE	Drink to Me Only With  Eyes
LAYER	Kind of cake. 
ENTER	Long computer key
ALTER	Dont leave alone
COULD	Was able to get what's U into what 14 down is
OTTER	It has kittens
ARRET	Stop on the Mtro
HOTEL	Monopoly structure
EROSE	Washed out
ANISE	Biscotto flavor
PLEAD	Get down on your knees say
AVERT	'esitate with time to turn aside
ELOPE	Flee to Gretna Green. 
EIDER	Deer curiously circling one duck
SIREN	Attention-getter
ELOPE	Split then unite
ERECT	Build upright
CHESS	Alekhine's game.
EDGER	Sidewalk tool 
REINS	Might they control Shetland (wordplay)
ELITE	Top group. 
EMEER	Prince of the Middle East (Var.)
ELATE	Make happier
ERROR	Diamond slip
TRYST	Date not marked on a calendar
DEFER	That's the way to put off having one freed
ENTER	Sign on a gate
ELOPE	Skip the big wedding, perhaps
RAKED	Smoothed in a way
EMAIL	Some cybermessages
NUMEN	Guiding spirit in Roman myth
CELLO	Morey Amsterdam's instrument
ELOPE	Forgo the ceremony
EMEER	Descendant of Mohammed 
AWARE	Conscious. 
SKATE	Diamondshaped fish
OTTER	Kind of hound
TREES	Oaks and aspens
OTTER	Non-fish aquarium attraction
RERUN	A further showing
ENTER	Sail into, as a harbor
